smiles,idnumber,reagent1,reagent2,reagent3,reagent4,reaction,MW,HAC,sLogP,HBA,HBD,RotBonds,FSP3,TPSA,QED,PAINS,BRENK,NIH,ZINC,LILLY,lead-like,350/3_lead-like,fragments,strict_fragments,PPI_modulators,natural_product-like,Type,InChiKey,pred
CC1=NC(CCNC(=O)C2=CC(F)=C(Br)C=C2Cl)=C(C)O1,Z1952622232,3041886,75545,,,22,375.625,21,3.819,3,1,4,0.286,55.130,0.827,,True,,,,True,,,,,AAACFLGACFMBMW-UHFFFAOYSA-N,,,-34.22914081572207
COC1=CC=CC(CSCC2=CN=C(C)N=C2)=C1,Z2067094899,2050416,3702771,,,7,260.362,18,3.227,4,0,5,0.286,35.010,0.826,,,,,,True,,,,,,AAACFNVRHFJXCH-UHFFFAOYSA-N,,-34.782481573669216
C=CCOCCCNC(=O)C(=O)NCC1=NC=C(C)N=C1,Z3529936930,4737014,26360216,,,271948,292.339,21,0.110,5,2,8,0.429,93.210,0.403,,True,True,,,True,True,,,,AAACFXDGBJVDBP-UHFFFAOYSA-N,,,-34.74071993555737
CSC1=CN=CC(N2C[C@H]3[C@H](Br)[C@H]3C2)=N1,Z2861738988,24371065,3899168,,,27,286.198,15,2.028,4,0,2,0.600,29.020,0.614,,True,True,,True,True,True,,,AAACGFAJMLHLPK-MTBHXBHISA-N,,,,-35.37348269337676
O=C(CN1CCCCC1=O)OCC1=NC(CO)=CC=C1,Z3816883444,435797,67831,,,1458,278.308,20,0.630,5,1,5,0.500,79.730,0.799,,,,,,True,True,,,,,AAACGGGWEOMBGY-UHFFFAOYSA-N,,-34.32851470392822
CCC1=NOC(CC)=C1CC(=O)NCCC#C[Si](C)(C)C,Z2914111336,3101933,3622167,,,22,306.482,21,2.729,3,1,6,0.625,55.130,0.499,,True,,,True,True,True,,,,,AAACGHMFJCWGOA-UHFFFAOYSA-N,,-38.16864009977163
CC1(C)CC(C(=O)N2CC(C(F)(F)F)C2)CC(C)(C)O1,Z3191420908,3564821,17434740,,,22,293.329,20,2.991,2,0,1,0.929,29.540,0.744,,,,,,True,True,True,,AAACGIFIEUWGFE-UHFFFAOYSA-N,,,,-33.17486691376521
"NC[C@@]1(F)CC[C@@H](C(=O)N2CC(OC3=CC=NC=C3)C2)C1 |&1:2,6|",Z6370944739,2204623,26388153,,,240690,293.342,21,1.138,4,1,4,0.600,68.450,0.904,,,,,,True,True,,,,,M,"AAACGWRXPXBOJV-IAQYHMDHSA-N,AAACGWRXPXBOJV-NHYWBVRUSA-N",-33.086299399643075
COC(=O)COC1CN(C2=NN=C(C(F)(F)F)S2)C1,Z3560828962,26287366,7014798,,,27,297.258,19,0.935,7,0,4,0.667,64.550,0.771,,,,,,True,True,,,,AAACGYIBRFPHFS-UHFFFAOYSA-N,,,-33.83132056331039
"COC(=O)C(C)(O)CNC(=O)[C@@H]1C[C@H]1C1(C)COC1 |&1:11,13|",Z5522270791,13976461,26270060,,,22,271.313,19,-0.301,5,2,5,0.846,84.860,0.671,,,,,,True,True,,,,True,M,"AAACHBVJAXDRMR-AOQUAJLESA-N,AAACHBVJAXDRMR-MDVRNYMKSA-N",-34.69831866744017
CC1=NC=C(CNC(=O)N(C)[C@H]2C[C@H](O)C2)S1,Z4068430995,2016644,3091794,,,2708,255.343,17,1.116,4,2,3,0.636,65.460,0.850,,,,,,True,,,,,AAACHQFPEPENJU-KYZUINATSA-N,,,-33.88333281209098
O=C(NC1=C(F)C=C(Cl)C=C1F)C(=O)N1C[C@H]2CC[C@@H]1C2,Z3874477596,2048567,2243692,,,2718,314.719,21,2.568,2,1,1,0.429,49.410,0.810,,True,True,,,True,True,,,AAACHWDYGXBAEF-IONNQARKSA-N,,,,-34.85774935978829
C[C@@H]1C[C@@]1(C)C(=O)N(C)CC1=CN=CC(Br)=C1,Z5580615563,27321729,3481476,,,22,297.196,17,2.849,2,0,3,0.538,33.200,0.859,,,,,,True,True,True,,AAACIDZMXOYMDT-NOZJJQNGSA-N,,,,-37.35722377112482
"C[C@@H]1C[C@@]1(C)C(=O)N(C)CC1=CN=CC(Br)=C1 |&1:1,3|",Z5635462742,27321729,24625838,,,22,297.196,17,2.849,2,0,3,0.538,33.200,0.859,,,,,,True,True,True,,,,M,"AAACIDZMXOYMDT-NOZJJQNGSA-N,AAACIDZMXOYMDT-ZANVPECISA-N",-37.35722384468092
C[C@H]1C[C@]1(C)C(=O)N(C)CC1=CN=CC(Br)=C1,Z5580646715,27321729,34422659,,,22,297.196,17,2.849,2,0,3,0.538,33.200,0.859,,,,,,True,True,True,,,,M,AAACIDZMXOYMDT-ZANVPECISA-N,-36.45961742682894
CCCN1C(=O)N([C@@H](C)C2=CN=CC(F)=C2)C(=O)C1CC,Z2367958428,3021799,17095549,,,272104,293.342,21,2.735,3,0,5,0.533,53.510,0.784,,True,,,,True,True,,,AAACIEALVADXIA-NKUHCKNESA-N,,,,-37.68752024142766
CCCN1C(=O)N(C(C)C2=CN=CC(F)=C2)C(=O)C1CC,Z1869974951,8090994,17095549,,,272104,293.342,21,2.735,3,0,5,0.533,53.510,0.784,,True,,,,True,True,,,AAACIEALVADXIA-UHFFFAOYSA-N,,,,-35.464294551052035
"COCCC1(C(=O)N2C[C@@H](C)[C@H](CN)C2)CCN(C)CC1 |&1:9,11|",Z4054988366,24575378,24271522,,,240690,297.443,21,0.788,4,1,5,0.938,58.800,0.815,,,,,,True,True,,,,,M,"AAACIJGVVRISOE-KBPBESRZSA-N,AAACIJGVVRISOE-ZIAGYGMSSA-N",-34.39609016379064
CC1=C(Br)C=CC(N)=C1C(=O)OCC1=NN(C)C(=O)N1,Z1745782185,15159674,11915964,,,1458,341.165,20,1.119,6,2,3,0.250,103.000,0.643,,True,,,,True,True,,AAACINWCGRAUML-UHFFFAOYSA-N,,,,,-33.5613374832185
